EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
Projectile_ChromaticOrb_Poison	SpellData	Chromatic Orb: Poison	Hurl poisonous energy that damages the target and creates a bubbling surface to &lt;LSTag Type="Status" Tooltip="POISONED"&gt;Poison&lt;/LSTag&gt; creatures. 	Хроматический шар: яд	Бросить сферу ядовитой энергии, которая наносит урон цели и создает бурлящую поверхность, &lt;LSTag Type="Status" Tooltip="POISONED"&gt;отравляющую&lt;/LSTag&gt; существ.
Projectile_ChromaticOrb_Thunder	SpellData	Chromatic Orb: Thunder	Hurl a sphere of thunderous energy.	Хроматический шар: гром	Бросить сферу энергии грома.
Projectile_ClarifiedMortality	SpellData	Mortal Reminder	&lt;LSTag Type="Status" Tooltip="FRIGHTENED"&gt;Frighten&lt;/LSTag&gt; nearby enemies upon landing a &lt;LSTag Tooltip="CriticalHit"&gt;Critical Hit&lt;/LSTag&gt;.	Memento mori	Нанося &lt;LSTag Tooltip="CriticalHit"&gt;критический удар&lt;/LSTag&gt;, повергает оказавшихся рядом врагов в &lt;LSTag Type="Status" Tooltip="FRIGHTENED"&gt;страх&lt;/LSTag&gt;.
Projectile_CoalBasket_Explosion	SpellData	Brazier Fall	A brazier falls, dealing [1] to all targets in a [2] radius.	Падение жаровни	Жаровня падает, нанося [1] всем целям в радиусе [2].
Projectile_CoalBasket_Explosion_NoFire	SpellData	Small Brazier Fall	A small brazier falls, dealing [1] to all targets in a [2] radius.	Падение маленькой жаровни	Небольшая жаровня падает, нанося [1] всем целям в радиусе [2].
Projectile_DEN_KanonJump	SpellData	%%% Death by arrow			
Projectile_DeathBurst_MagmaMephit	SpellData	Death Burst	Explode in a burst of fire.	Посмертный взрыв	Испустить огненный взрыв.
Projectile_Dipped_Fire	SpellData	Fire Arrow	The arrow deals fire damage and can ignite surfaces.	Горящая стрела	Стрела наносит урон огнем и может поджигать поверхности.
Projectile_Dipped_Poison	SpellData	Poison Arrow	The arrow deals poison damage.	Отравленная стрела	Стрела наносит урон ядом.
Projectile_DisarmingAttack	SpellData	Disarming Attack (Ranged)	Focus your shot on your foe's hands and possibly force them to drop the weapons they are holding.	Обезоруживающая атака (дистанционная)	Нацелить выстрел на руки противника. Может заставить того выронить оружие.
Projectile_DistractingStrike	SpellData	Distracting Strike (Ranged)	&lt;LSTag Type="Status" Tooltip="DISTRACTED"&gt;Distract&lt;/LSTag&gt; your target, giving your allies &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on their next &lt;LSTag Tooltip="AttackRoll"&gt;Attack Roll&lt;/LSTag&gt; against it.	Отвлекающий удар (дистанционный)	&lt;LSTag Type="Status" Tooltip="DISTRACTED"&gt;Отвлечь&lt;/LSTag&gt; внимание цели, дав союзникам &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при следующем &lt;LSTag Tooltip="AttackRoll"&gt;броске атаки&lt;/LSTag&gt; против нее.
Projectile_DivingStrike	SpellData	Diving Strike	Leap down unto a foe, knocking them &lt;LSTag Type="Status" Tooltip="PRONE"&gt;Prone&lt;/LSTag&gt;. You won't take falling damage. You must be above your target. Requires Rage.	Удар в падении	Прыгнуть с высоты на находящегося под вами противника, заставив его упасть &lt;LSTag Type="Status" Tooltip="PRONE"&gt;плашмя&lt;/LSTag&gt;. Вы не получаете урон от падения. Требуется ярость.
Projectile_Drink_Alcohol	SpellData	Lovely Jubby Booze	Alcohol. For purposes of: forgetting. Benefit of: everybody.	Расчудесная выпивка	Алкоголь. Эффект: позволяет забыть. Приносит пользу: всем.
Projectile_EldritchBlast	SpellData	Eldritch Blast	Conjure [1] beam(s) of crackling energy.	Потусторонний разряд	Создать [1] луч(а) трескучей энергии.
Projectile_EnsnaringStrike	SpellData	Ensnaring Strike (Ranged)	Your attack summons thorny vines that possibly &lt;LSTag Type="Status" Tooltip="ENSNARING_STRIKE"&gt;Ensnare&lt;/LSTag&gt; your target.	Опутывающий удар (дистанционный)	Ваша атака призывает колючие лозы, которые могут &lt;LSTag Type="Status" Tooltip="ENSNARING_STRIKE"&gt;поймать&lt;/LSTag&gt; цель в ловушку.
Projectile_EnsnaringStrike_Container	SpellData	Ensnaring Strike		Опутывающий удар	
Projectile_Explosion_Trap	SpellData	Explosion		Взрыв	
Projectile_ExtraAttack	SpellData	Multiattack (Ranged)	Make an additional ranged attack with your equipped weapon.	Мультиатака (дистанционная)	Еще раз атаковать на расстоянии текущим дистанционным оружием.
Projectile_FOR_GnomeGoblin_ThrowRock	SpellData	Throw Rock		Бросок камня	
Projectile_FOR_SeluneStash_ChestTrap	SpellData	Selûne's Seal	A protective shield surrounds the chest, damaging any heretics that touch it.	Печать Селунэ	Сундук окружен магическим щитом, наносящим урон любому еретику, который прикоснется к нему.
Projectile_FallingRocks	SpellData	Falling Rocks		Падающие камни	
Projectile_FireBolt	SpellData	Fire Bolt	Hurl a mote of fire.	Огненный снаряд	Бросить огненную каплю.
Projectile_Fireball	SpellData	Fireball	Shoot a bright flame from your fingers that explodes upon contact, torching everything in the vicinity.	Огненный шар	Выпустить сияющий сгусток пламени, взрывающийся в месте падения и поджигающий все, что оказалось рядом.
Projectile_Fireball_Trap	SpellData	Explosion	Erupt in a burst of fire.	Взрыв	Взорваться огненным вихрем.
Projectile_Fireworks_Box_A	SpellData	Glorious Fireworks	Send a rocket of firework-flame at a foe, blasting the target, nearby creatures, and inflicting &lt;LSTag Type="Status" Tooltip="COLOR_SPRAY"&gt;Colour Spray&lt;/LSTag&gt; on the target.	Великолепный фейерверк	Выпустить огненную ракету в противника. Ракета взрывается фейерверком, поражает цель, находящихся поблизости существ, и накладывает на цель &lt;LSTag Type="Status" Tooltip="COLOR_SPRAY"&gt;«Цветные брызги»&lt;/LSTag&gt;.
Projectile_Fireworks_Rocket_A	SpellData	Firework Rocket	Send a small rocket at a foe, blasting the target and inflicting &lt;LSTag Type="Status" Tooltip="COLOR_SPRAY"&gt;Colour Spray&lt;/LSTag&gt;.	Ракета фейерверка	Выпустить небольшую ракету в противника. Ракета взрывается, поражает цель и накладывает на нее &lt;LSTag Type="Status" Tooltip="COLOR_SPRAY"&gt;«Цветные брызги»&lt;/LSTag&gt;.
Projectile_Fireworks_Rocket_B	SpellData	Firework Rocket		Ракета фейерверка	
Projectile_Fireworks_Rocket_C	SpellData	Firework Rocket		Ракета фейерверка	
Projectile_Fly	SpellData	Fly	Fly to a target position.	Полет	Перелететь в указанную точку.
Projectile_Force_Trap	SpellData	Force Blast	Explode with force, pushing targets back [1].	Силовой взрыв	С силой взрывается, отталкивая цели назад на [1].
Projectile_GEB_GoblinKid_ThrowRocks	SpellData	Throw Rock		Бросок камня	
Projectile_GEB_Perform_TossCoin	SpellData	Toss a Coin	Show your appreciation for a wonderful performance.	Заплатите чеканной монетой	Продемонстрируйте свое восхищение чудесным представлением.
Projectile_GOB_GoblinPriestess_StatueDebris	SpellData	Statue Impact	The old statue topples, damaging anything underneath it and knocking creatures &lt;LSTag Type="Status" Tooltip="PRONE"&gt;Prone&lt;/LSTag&gt;.	Удар статуи	Древняя статуя заваливается, нанося урон и заставляя упасть &lt;LSTag Type="Status" Tooltip="PRONE"&gt;плашмя&lt;/LSTag&gt; всех, кто оказался ей придавлен.
Projectile_GOB_PainPriest_Mace	SpellData	Mace Attack		Атака булавой	
Projectile_Generic_Imp	SpellData	Fiery Bolt		Огненный снаряд	
Projectile_GlyphOfWarding_Acid_Trap	SpellData	Glyph of Warding: Acid	The glyphs explode and hurt everyone within range when stepped on by an enemy.	Сторожевая печать: кислота	Если на печать наступает противник, она взрывается, поражая всех, кто оказался в радиусе ее действия.
Projectile_GlyphOfWarding_Cold_Trap	SpellData	Glyph of Warding: Cold		Сторожевая печать: холод	
Projectile_GlyphOfWarding_Detonation_Trap	SpellData	Glyph of Warding: Detonation	The glyphs emit a gust of wind that pushes everyone back when stepped on by an enemy.	Сторожевая печать: взрыв	Если на печать наступает противник, она испускает волну отталкивающего цели ветра.
Projectile_GlyphOfWarding_Fire_Trap	SpellData	Glyph of Warding: Fire		Сторожевая печать: огонь	
Projectile_GlyphOfWarding_Lightning_Trap	SpellData	Glyph of Warding: Lightning		Сторожевая печать: молния	
Projectile_GlyphOfWarding_Sleep_Trap	SpellData	Glyph of Warding: Sleep	The glyphs emit a soothing magic that puts everyone within range to &lt;LSTag Type="Status" Tooltip="SLEEP"&gt;Sleep&lt;/LSTag&gt; when stepped on by an enemy.	Сторожевая печать: сон	Если на печать наступает противник, она испускает умиротворяющее заклинание, повергающее всех, кто оказался в радиусе ее действия, в &lt;LSTag Type="Status" Tooltip="SLEEP"&gt;сон&lt;/LSTag&gt;.
Projectile_GlyphOfWarding_Thunder_Trap	SpellData	Glyph of Warding: Thunder		Сторожевая печать: гром	
Projectile_GreenSporeCloud	SpellData	Bibberbang Spores	Eject poisonous bibberbang spores and create a cloud of Noxious Fumes.	Споры бибербанга	Выпустить образующие ядовитое облако споры бибербанга.
Projectile_Grenade_AcidBottle	SpellData	Acid Vial	Hurl an acid vial that explodes on impact.	Флакон с кислотой	Бросить взрывающийся в месте флакон с кислотой.
Projectile_GuidingBolt	SpellData	Guiding Bolt	The next &lt;LSTag Tooltip="AttackRoll"&gt;Attack Roll&lt;/LSTag&gt; against this target has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;.	Направляющий луч	Следующий &lt;LSTag Tooltip="AttackRoll"&gt;бросок атаки&lt;/LSTag&gt; против этой цели получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;.
Projectile_GuildingBolt_2	SpellData	Guiding Bolt	The next &lt;LSTag Tooltip="AttackRoll"&gt;Attack Roll&lt;/LSTag&gt; against this target has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;.	Направляющий луч	Следующий &lt;LSTag Tooltip="AttackRoll"&gt;бросок атаки&lt;/LSTag&gt; против этой цели получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;.
Projectile_GuildingBolt_3	SpellData	Guiding Bolt	The next &lt;LSTag Tooltip="AttackRoll"&gt;Attack Roll&lt;/LSTag&gt; against this target has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;.	Направляющий луч	Следующий &lt;LSTag Tooltip="AttackRoll"&gt;бросок атаки&lt;/LSTag&gt; против этой цели получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;.
Projectile_HAG_HagGrenade_Fire	SpellData	Flammable Slime Bomb		Бомба с горючей слизью	
Projectile_HAG_HagGrenade_PoisonCloud	SpellData	Poisonous Slime Bomb		Бомба с ядовитой слизью	
Projectile_HAG_PsychicMine	SpellData	Illusory Mine	Release an illusory blast that damages and &lt;LSTag Type="Status" Tooltip="SLOW"&gt;Slows&lt;/LSTag&gt; nearby creatures. 	Иллюзорная мина	Вызвать иллюзорный взрыв, наносящий урон и &lt;LSTag Type="Status" Tooltip="SLOW"&gt;замедляющий&lt;/LSTag&gt; всех, кто оказался рядом.
Projectile_HailOfThorns	SpellData	Hail of Thorns	The thorns deal [1] to the target and then explode. The explosion deals an additional [2] to the target and surrounding creatures.	Град шипов	Колючки наносят цели [1] и взрываются. Взрыв дополнительно наносит [2] цели и окружающим существам.
Projectile_HamstringShot	SpellData	Hamstring Shot	Shoot an enemy in the thigh and possibly reduce their &lt;LSTag Tooltip="MovementSpeed"&gt;movement speed&lt;/LSTag&gt; by [1].	Выстрел в бедро	Выстрелить врагу в бедро. Ранение может уменьшить его &lt;LSTag Tooltip="MovementSpeed"&gt;скорость перемещения&lt;/LSTag&gt; на [1].
Projectile_Headcrack	SpellData	Headcrack	Lob a small payload at the target, wounding them and possibly inflicting &lt;LSTag Type="Status" Tooltip="DAZED"&gt;Dazed&lt;/LSTag&gt;.	Черепокол	Поразить цель небольшим зарядом, ранить ее и, возможно, вызвать &lt;LSTag Type="Status" Tooltip="DAZED"&gt;дезориентацию&lt;/LSTag&gt;.
Projectile_HolyWater	SpellData	Holy Water	This small flask explodes on impact, damaging nearby fiends and undead.	Святая вода	При попадании в цель эта бутылочка разлетается на куски, нанося урон оказавшимся рядом бестиям и нежити.
Projectile_HordeBreaker	SpellData	Horde Breaker (Ranged)	Target two creatures standing close to each other. Shoot the first creature and get a free shot at the second.	Сокрушитель орд (дистанционный)	Сделать целями двух существ, стоящих рядом друг с другом. Выстрелив в первое существо, вы получите возможность свободно выстрелить во второе.
Projectile_HordeBreaker_Explosion	SpellData	Explode		Взрыв	
Projectile_HordeBreaker_Free	SpellData	Horde Breaker Follow-Up (Ranged)	Follow up on your horde breaker with a second attack.	Сокрушитель орд: продолжение (дистанция)	Продолжить «Сокрушителя орд» новой атакой.
Projectile_Javelin	SpellData	Throw Javelin	Throw a Javelin at your foe.	Метнуть пилум	Метнуть в противника пилум.
Projectile_Jump	SpellData	Jump	Jump up, down, and across. Your &lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; affects how far you can jump.	Прыжок	Прыгнуть вверх, вниз или вперед. За дальность прыжка отвечает ваша &lt;LSTag Tooltip="Strength"&gt;сила&lt;/LSTag&gt;.
Projectile_Jump_Bulette	SpellData	Deadly Leap	Leap to your targets, pushing them back, and possibly making them fall &lt;LSTag Type="Status" Tooltip="PRONE"&gt;Prone&lt;/LSTag&gt;.	Смертоносный прыжок	Прыгнуть на цель. Атака отбрасывает оказавшихся рядом противников и может вынудить их &lt;LSTag Type="Status" Tooltip="PRONE"&gt;упасть плашмя&lt;/LSTag&gt;.
Projectile_Jump_FlamingSphere	SpellData	Jump	Jump up to [1].	Прыжок	Подпрыгнуть на высоту вплоть до [1].
Projectile_Jump_Frog	SpellData	Jump		Прыжок	
Projectile_Jump_Gnoll	SpellData	Leap		Прыжок	
Projectile_Jump_Harpy	SpellData	Fly		Полет	
Projectile_Jump_HookHorror	SpellData	Pounce	Leap at a target, possibly knocking it &lt;LSTag Type="Status" Tooltip="PRONE"&gt;Prone&lt;/LSTag&gt;.	Наскок	Прыгнуть на цель. Может вынудить ее &lt;LSTag Type="Status" Tooltip="PRONE"&gt;упасть плашмя&lt;/LSTag&gt;.
Projectile_Jump_Laezel	SpellData	Githyanki Psionics: Jump	Triple your jumping distance.	Псионика гитьянки: прыжок	Ваша дальность прыжков увеличивается втрое.
Projectile_Jump_Mephit	SpellData	Fly	Fly to a target position.	Полет	Перелететь в указанную точку.
Projectile_Jump_Minotaur	SpellData	Brutal Leap	Leap at a target and possibly knock it &lt;LSTag Type="Status" Tooltip="PRONE"&gt;Prone&lt;/LSTag&gt;.	Жесткий прыжок	Прыгнуть на цель. Может вынудить цель &lt;LSTag Type="Status" Tooltip="PRONE"&gt;упасть плашмя&lt;/LSTag&gt;.
Projectile_Jump_Owlbear	SpellData	Crushing Flight	Leap at a target, possibly knocking it &lt;LSTag Type="Status" Tooltip="PRONE"&gt;Prone&lt;/LSTag&gt;.	Сокрушительный полет	Прыгнуть на цель. Может вынудить ее &lt;LSTag Type="Status" Tooltip="PRONE"&gt;упасть плашмя&lt;/LSTag&gt;.
Projectile_Jump_Owlbear_Cub	SpellData	Jump	Jump to a destination.	Прыжок	Прыгнуть к месту назначения.
Projectile_Jump_Spectator	SpellData	Fly		Полет	
Projectile_Jump_Spider	SpellData	Arachnid Jump		Прыжок арахнида	
Projectile_Jump_Tiny	SpellData	Leap	Jump a short distance.	Прыжок	Прыгнуть на небольшое расстояние.
Projectile_Levitate_Beholder	SpellData	Levitate	Float effortlessly to a destination.	Левитация	Беспрепятственно проплыть по воздуху к месту назначения.
Projectile_Levitate_Mindflayer	SpellData	Levitate	Float effortlessly to a destination.	Левитация	Беспрепятственно проплыть по воздуху к месту назначения.
Projectile_MAG_Mobility_ExplosionOnJump_Summon_Helper	SpellData	Summon		Призыв	
Projectile_MagicMissile	SpellData	Magic Missile	Shoot [2] magical darts, each dealing [1]. They always hit their target.	Волшебная стрела	Выстрелить [2] волшебными стрелами, каждая из которых наносит [1]. Волшебные стрелы всегда попадают в цель.
Projectile_MagicMissile_2	SpellData	Magic Missile	Shoot [2] magical darts, each dealing [1]. They always hit their target.	Волшебная стрела	Выстрелить [2] волшебными стрелами, каждая из которых наносит [1]. Волшебные стрелы всегда попадают в цель.
Projectile_MagicMissile_3	SpellData	Magic Missile	Shoot [2] magical darts, each dealing [1]. They always hit their target.	Волшебная стрела	Выстрелить [2] волшебными стрелами, каждая из которых наносит [1]. Волшебные стрелы всегда попадают в цель.
Projectile_MainHandAttack	SpellData	Ranged Attack	Make a ranged attack with your equipped weapon.	Дистанционная атака	Атаковать на расстоянии текущим дистанционным оружием.
