EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
ALCH_Elixir_ArcaneAcuity_Passive	PassiveData	Elixir of Battlemage's Power	You have &lt;LSTag Type="Status" Tooltip="MAG_GISH_ARCANE_ACUITY"&gt;Arcane Acuity&lt;/LSTag&gt; until your next &lt;LSTag Tooltip="LongRest"&gt;Long Rest&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Эликсир силы боевого мага	Вы получаете &lt;LSTag Type="Status" Tooltip="MAG_GISH_ARCANE_ACUITY"&gt;магическую интуицию&lt;/LSTag&gt; до следующего &lt;LSTag Tooltip="LongRest"&gt;долгого отдыха&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров.
ALCH_Elixir_Bloodlust_Passive	PassiveData	Elixir of Bloodlust	You have entered a murderous state of bloodlust. Once per turn, when you kill an enemy, you gain  [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt; and an &lt;LSTag Tooltip="Action"&gt;action&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk. 	Эликсир кровожадности	Вас охватила необоримая жажда крови. Раз за ход, когда вы убиваете противника, вы получите [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временных ОЗ&lt;/LSTag&gt; и &lt;LSTag Tooltip="Action"&gt;действие&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров. 
ALCH_Elixir_Concentration_Passive	PassiveData	Elixir of Peerless Concentration	Your ability to maintain spells has increased. You have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; against being &lt;LSTag Type="Status" Tooltip="CHARMED"&gt;Charmed&lt;/LSTag&gt; and for maintaining &lt;LSTag Tooltip="Concentration"&gt;Concentration&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk. Magic can't put you to sleep.	Эликсир бесподобной концентрации	Ваша способность поддерживать заклинания улучшилась. Вы получаете &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; против &lt;LSTag Type="Status" Tooltip="CHARMED"&gt;обворожения&lt;/LSTag&gt; и для поддержания &lt;LSTag Tooltip="Concentration"&gt;концентрации&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров. Магические чары не способны погрузить вас в сон.
ALCH_Elixir_Tadpole_Passive	PassiveData	Psionic Weakening	You have &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Constitution, Wisdom and Intelligence &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Псионический упадок	Вы получаете &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; на выносливость, мудрость и интеллект. При использовании заменяет эффекты других эликсиров.
ALCH_Extract_Air_Fey_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Essence&lt;/hl&gt; to liberate this airy extract's true potential.	Алхимический экстракт	Добавьте &lt;hl&gt;эссенцию&lt;/hl&gt;, чтобы раскрыть подлинную силу этого эфирного экстракта.
ALCH_Extract_Air_Fire_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Ashes&lt;/hl&gt; to release the arcane properties of this airy extract, creating a potion that will dramatically increase your jump distance.	Алхимический экстракт	Добавьте &lt;hl&gt;золу&lt;/hl&gt;, чтобы раскрыть магические свойства этого эфирного экстракта. В результате вы получите зелье, которое значительно повышает максимальную дальность прыжка.
ALCH_Extract_Earth_Shadow_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Vitriol&lt;/hl&gt; for a first-rate solution.	Алхимический экстракт	Добавьте &lt;hl&gt;купорос&lt;/hl&gt;, чтобы получить первоклассный раствор.
ALCH_Extract_Earth_Water_Passive	PassiveData	Alchemical Extract	Combine with a &lt;hl&gt;Suspension&lt;/hl&gt; to create a powerful solution.	Алхимический экстракт	Добавьте &lt;hl&gt;суспензию&lt;/hl&gt;, чтобы создать сильнодействующий раствор.
ALCH_Extract_Fey_Earth_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Salts&lt;/hl&gt; to ground the magic contained in this ephemeral extract.	Алхимический экстракт	Добавьте &lt;hl&gt;соли&lt;/hl&gt;, чтобы сконденсировать заключенную в этом эфирном экстракте магию.
ALCH_Extract_Fey_Water_Passive	PassiveData	Alchemical Extract	Combine with a &lt;hl&gt;Suspension&lt;/hl&gt; as not to dull the extract's vibrant magic.	Алхимический экстракт	Добавьте &lt;hl&gt;суспензию&lt;/hl&gt;, чтобы не дать живой магии этого экстракта поблекнуть.
ALCH_Extract_Fire_Earth_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Salts&lt;/hl&gt; to stabilise this extract's fiery nature.	Алхимический экстракт	Добавьте &lt;hl&gt;соли&lt;/hl&gt;, чтобы стабилизировать огненную природу этого экстракта.
ALCH_Extract_Fire_Fey_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Essence&lt;/hl&gt; to rekindle the magic in this extract.	Алхимический экстракт	Добавьте &lt;hl&gt;эссенцию&lt;/hl&gt;, чтобы освежить сокрытую в этом экстракте магию.
ALCH_Extract_Shadow_Air_Passive	PassiveData	Alchemical Extract	Combine with a &lt;hl&gt;Sublimate&lt;/hl&gt; to purify this foul extract.	Алхимический экстракт	Добавьте &lt;hl&gt;сублимат&lt;/hl&gt;, чтобы очистить этот зловонный экстракт.
ALCH_Extract_Shadow_Fire_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Ashes&lt;/hl&gt; to burn away this extract's more repulsive aspects.	Алхимический экстракт	Добавьте &lt;hl&gt;золу&lt;/hl&gt;, чтобы осадить нежелательные компоненты этого экстракта.
ALCH_Extract_Water_Air_Passive	PassiveData	Alchemical Extract	Combine with a &lt;hl&gt;Sublimate&lt;/hl&gt; for an airy but potent solution.	Алхимический экстракт	Добавьте &lt;hl&gt;сублимат&lt;/hl&gt;, чтобы получить летучий, но мощный раствор.
ALCH_Extract_Water_Shadow_Passive	PassiveData	Alchemical Extract	Combine with &lt;hl&gt;Vitriol&lt;/hl&gt; to give this watery extract the power it needs.	Алхимический экстракт	Добавьте &lt;hl&gt;купорос&lt;/hl&gt;, чтобы придать действенности этому водянистому экстракту.
ALCH_Ingredient_Air_Passive	PassiveData	Alchemical Ingredient	Combine 3 of these to create a &lt;hl&gt;Sublimate&lt;/hl&gt;.	Алхимический ингредиент	Смешайте 3 таких ингредиента, чтобы получить &lt;hl&gt;сублимат&lt;/hl&gt;.
ALCH_Ingredient_Earth_Passive	PassiveData	Alchemical Ingredient	Combine 3 of these to grind them into &lt;hl&gt;Salts&lt;/hl&gt;.	Алхимический ингредиент	Смешайте 3 таких ингредиента, чтобы перетереть их в &lt;hl&gt;соли&lt;/hl&gt;.
ALCH_Ingredient_Fey_Passive	PassiveData	Alchemical Ingredient	Combine 3 of these to extract their &lt;hl&gt;Essence&lt;/hl&gt;.	Алхимический ингредиент	Смешайте 3 таких ингредиента, чтобы извлечь из них &lt;hl&gt;эссенцию&lt;/hl&gt;.
ALCH_Ingredient_Fire_Passive	PassiveData	Alchemical Ingredient	Combine 3 of these to calcinate them into &lt;hl&gt;Ashes&lt;/hl&gt;.	Алхимический ингредиент	Смешайте 3 таких ингредиента, чтобы пережечь их в &lt;hl&gt;золу&lt;/hl&gt;.
ALCH_Ingredient_Shadow_Passive	PassiveData	Alchemical Ingredient	Combine 3 of these to create &lt;hl&gt;Vitriol&lt;/hl&gt;.	Алхимический ингредиент	Смешайте 3 таких ингредиента, чтобы получить &lt;hl&gt;купорос&lt;/hl&gt;.
ALCH_Ingredient_Water_Passive	PassiveData	Alchemical Ingredient	Combine 3 of these to create a &lt;hl&gt;Suspension&lt;/hl&gt;.	Алхимический ингредиент	Смешайте 3 таких ингредиента, чтобы получить &lt;hl&gt;суспензию&lt;/hl&gt;.
ALCH_OIL_ATTACKBUFF	StatusData	Oil of Accuracy	Has a +[1] bonus to &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; with the oiled weapon.	Масло точности	Дает бонус +[1] к &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt; покрытым им оружием.
ALCH_OIL_ATTACKBUFF_DIPPED	StatusData	Oil of Accuracy	Has a +[1] bonus to &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; with the oiled weapon.	Масло точности	Дает бонус +[1] к &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt; покрытым им оружием.
ALCH_OIL_BANE	StatusData	Oil of Bane	Targets become &lt;LSTag Type="Status" Tooltip="ALCH_OIL_BANE_CONDITION"&gt;Baned&lt;/LSTag&gt; for [1] turns unless they succeed a Charisma &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throw&lt;/LSTag&gt;.	Масло порчи	Цели, не прошедшие &lt;LSTag Tooltip="SavingThrow"&gt;испытание&lt;/LSTag&gt; харизмы &lt;LSTag Tooltip="DifficultyClass"&gt;КС&lt;/LSTag&gt; 11, на [1] ходов подпадают под действие &lt;LSTag Type="Status" Tooltip="ALCH_OIL_BANE_CONDITION"&gt;порчи&lt;/LSTag&gt;.
ALCH_OIL_BANE_DIPPED	StatusData	Coated in Oil of Bane	Targets become &lt;LSTag Type="Status" Tooltip="ALCH_OIL_BANE_CONDITION"&gt;Baned&lt;/LSTag&gt; for [1] turns unless they succeed a Charisma &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throw&lt;/LSTag&gt;.	Покрыто маслом порчи	Цели, не прошедшие &lt;LSTag Tooltip="SavingThrow"&gt;испытание&lt;/LSTag&gt; харизмы &lt;LSTag Tooltip="DifficultyClass"&gt;КС&lt;/LSTag&gt; 11, на [1] ходов подпадают под действие &lt;LSTag Type="Status" Tooltip="ALCH_OIL_BANE_CONDITION"&gt;порчи&lt;/LSTag&gt;.
ALCH_OIL_COMBUSTION	StatusData	Oil of Combustion	Coat your active weapon in this oil. On a hit, the target is doused in oil for [1] turns. If it takes Fire damage, the oil immolates, dealing [2] in an area around it. 	Масло воспламенения	Покрыть используемое в данный момент оружие этим маслом. Пораженная им цель в течение [1] ходов остается покрытой маслом. При получении урона огнем она воспламенится, нанося [2] в области вокруг нее. 
ALCH_OIL_COMBUSTION_CONDITION	StatusData	Oil of Combustion	Affected entity is doused in oil. If it takes Fire damage, the oil immolates, dealing [2] in an area around it.	Масло воспламенения	Покрывает поражаемое существо пленкой масла. При получении урона огнем оно воспламенится, нанося [2] в области вокруг него.
ALCH_OIL_COMBUSTION_DIPPED	StatusData	Coated in Oil of Combustion	Coated in flammable oil.&lt;br&gt;&lt;br&gt;On a hit, the target is doused in oil for [1] turns. If it takes Fire damage, the oil immolates, dealing [2] in an area around it.	Покрыто маслом воспламенения	Оружие покрыто горючим маслом.&lt;br&gt;&lt;br&gt;Пораженная им цель в течение [1] ходов остается покрытой маслом. При получении урона огнем она воспламенится, нанося [2] в области вокруг нее.
ALCH_OIL_DAMAGEATTACKBUFF	StatusData	Oil of Magical Honing	Weapons coated in this arcane oil gain a +[1] bonus to Damage and &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;. Weapons become magical, so they can damage creatures that are immune to non-magical attacks.	Масло магической остроты	Оружие, покрытое этим магическим маслом, получает бонус +[1] к урону и &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt;. Оно становится магическим, так что может наносить урон существам с невосприимчивостью к немагическим атакам.
ALCH_OIL_DAMAGEATTACKBUFF_DIPPED	StatusData	Coated in Diluted Oil of Sharpness	The arcane oil coating this weapon grants it a +[1] bonus to Damage and &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;. The weapon has become magical, so it can damage creatures that are immune to non-magical attacks.	Покрыто разбавленным маслом остроты	Покрывающее это оружие магическое масло дает бонус +[1] к урону и &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt;. Оружие стало магическим, так что может наносить урон существам с невосприимчивостью к немагическим атакам.
