templateUuid	stats	displayNameHandle	name_en	name_ru
4521a4d1-0940-41de-b4c2-0314b8c8f32d	Familiar_Frog	hb5ee9de4g471dg4d64g84f6g6ac7ea2022ab	Conjured Frog	Призванная лягушка
48cda2b7-04bc-40c2-81f5-1dddabcd15ab	Familiar_Crab	h3c63e20eg2be0g4bfcga9f4g3e7fc2e54e3f	Conjured Crab	Призванный краб
4a54b4a2-8500-4207-964f-4ecfb9cdb778	MinorIllusion	h9acabc81g541cg487dga7e7gcbcef30d667e	Illusory Double	Иллюзорный двойник
4ab10523-7e35-4a68-9afa-4839c484c579	Companion_Boar_5	h0a349199g118cg4058gac2dgce6e09ce426f	Verres Major	Verres Major
4b2a85ba-2e6e-481e-a469-3a878d17eb1a	Zombie	h321958c5ga1bag4d77gbf0bg33ec556d943a	Zombie	Зомби
4c90b3c1-55dd-4b7e-b08f-8d7cc15f8d41	GuardianOfFaith	h2ac268f1g864bg4b3fg926agc4c3f3282cbc	Guardian of Faith	Страж веры
4d1342a2-ff82-4b5e-9c4f-5c758e4ba865	TWN_Brewer_Imp_Lightning	hfbbbf75cg9400g4eb2gb265g3c37ac3e3e91	Lightning Hallucination	Грозовая галлюцинация
4f097abb-32ee-4e9e-9217-a6c19a0ebfde	Helper_Countercharm			
4feb37e1-75c5-4025-8587-f9c4390f12e3	Helper_Countercharm			
51d358dc-3f03-4527-8881-20bde920f650	Helper_Countercharm			
533d21da-878c-421d-a372-54e0125ae3bb	Companion_Bear_5	hd2340ebeg86d3g4090g819ag02aff7b1a31c	Ursa Major	Ursa Major
557fec99-a8d7-466e-8b33-517082e5d8fb	Companion_Wolf_8	hf69b8d7fg15ecg4f4dg9d93gf1e1d626307a	Lupus Major	Lupus Major
5f3c0946-affb-4e95-a5b3-fd0a78d2dec8	MinorIllusion	h3230c5a2g9972g4afagbe10gce5e8490ef2f	Illusory Double	Иллюзорный двойник
62fd6540-17dd-405e-b305-1d88d77e8a08	Companion_Wolf_11	h1be98449g5622g4511ga994g00d58d5c41fa	Lupus Optumus	Lupus Optumus
637e4035-0368-44c9-8bce-53a639594fb7	SpiritualWeapon_Spear	h7ddc1889gbb9cg4ae2gb0a4g38d06dab718d	Spiritual Weapon	Призрачное оружие
63854225-bfb0-4585-a427-ee47fcaabced	SpiritualWeapon_Greataxe	h7ddc1889gbb9cg4ae2gb0a4g38d06dab718d	Spiritual Weapon	Призрачное оружие
6708ae4b-8dcf-4812-bdba-fd5fe1c343f6	Cambion_PlanarAlly	hedb4ec86g3de9g4da3g8eaeg1aca7418c2e2	Cambion	Камбион
6bca09a1-c649-4483-a10a-45b82af87d69	Companion_Worg	hd02ee347g4500g4c7bgbd8dg1525d446e4df	Worg Companion	Варг-спутник
6beb5e0e-2557-4be3-854e-e8af7fb7723d	SpiritualWeapon_Trident	h7ddc1889gbb9cg4ae2gb0a4g38d06dab718d	Spiritual Weapon	Призрачное оружие
6c06cda2-6e13-4663-a6f6-c4bb7564c10f	AnimateDead_Skeleton	h95685f43gc82dg46ebg8893gfc9922cc57a8	Skeleton	Скелет
6c737cbd-3a0a-4ac9-a1d2-7794291e9951	MinorIllusion	hb51487e0g4401g435eg9426gace54083a12c	Illusory Double	Иллюзорный двойник
6e5cc9a9-acbc-4b2a-8421-9f36a37af8e6	WYR_Gortash_ManifestationOfTyranny	h2ede0fb7ga9b9g4b1egb962gbc4f0f1cf1f8	Manifestation of Tyranny	Воплощение тирании
6f65f77f-4583-4dd7-be15-b737d0175061	MiniatureGiantSpaceHamster_Boo	h2a24273dgc9b1g4723gbd3bg275a5fff68ae	Boo	Бу
73874d46-00e5-4bd1-91cc-49baf95a8226	MinorIllusion	h4810f776g1676g4804g9c56g478ab72532d6	Illusory Double	Иллюзорный двойник
739b8af1-643d-4cc9-b5bd-3628cd3acc40	Familiar_Spider	h3d9bda3age919g4749g92dbg39ec20e5852d	Conjured Spider	Призванный паук
749b1e7d-63a1-4a3d-b0ca-f237b9ada5c4	Shadow	h2711baf5g8688g4a77ga496g7ea8d30c69f4	Shadow	Тень
74a96845-f868-4843-8941-9dfa27be92ed	Companion_Wolf_7	h0851efd0gc66fg480dgadcdgd50da7b4f436	Lupus Major	Lupus Major
74e37928-4361-4d5b-a304-0ba82f5e398a	Mephit_Mud_ConjureElemental	hf250d53cg16b8g4d8fga959g081b825eadf6	Mud Mephit	Грязевой мефит
7542dc70-4f9d-439a-ba96-1bc0c1b89d9c	Companion_GiantSpider	hb4cba903g6178g449cgab14geafd9fbc36ef	Aranea	Aranea
76e0d157-ac37-4ba9-ad32-5be603a18f2a	LOW_DevilsFee_Boar	h5f8fecd8g9e3ag47afgbfaagc0d9dad484e6	Gilded Hellsboar	Золоченый адский кабан
7794f082-5483-42d2-9d5c-ee6a99de8703	Fire_Myrmidon	h27d04e3fg3b3dg42f2g81bcg156c7f4fc127	Fire Myrmidon	Прислужник огня
79d2361b-32d4-4a8e-9f95-531a214600ce	Companion_GiantSpider_7	h70071649g7a20g422eg82abg4e7df9b84982	Aranea Major	Aranea Major
7a74e578-0a94-4f66-a192-4cda690fc041	Companion_Raven_7	h333f1c04g431bg48f3gb9a8g70b8d3e21b95	Corvus Major	Corvus Major
7c268674-e265-4d87-aca3-a2ed18d85816	TWN_Brewer_Imp_Poison	h060e52d3g41d3g4a0egb6e6gb09150f7a03a	Poison Hallucination	Ядовитая галлюцинация
8213faca-b4ca-44f3-84c0-2ece473a91ed	Companion_Wolf_7	hf465ead8g39b0g45e3gada4gbe7283c8c0ea	Wolf	Волк
88a6c664-877c-4d6e-81ad-dd377df2634e	Fire_Elemental	hbaa775bagfe8eg4fe4gb383g6fc1916c661c	Fire Elemental	Элементаль огня
8f878065-565d-4a74-9d7b-cc41fad7e720	Companion_Raven_Flock	h8e74a25dg7c94g44b5g8ef2g98af391cb1cc	Corvus	Corvus
9100d053-dfad-4e6d-b638-dbc24b89644f	Spider_Giant_Ranged	h16edb279g86c2g421eg8192gadd1943fcd5d	Conjured Spider	Призванный паук
929fdbf4-c05d-4cda-855f-18c47249434f	LOW_BasiliskGate_Companion_Wolf_11	h1be98449g5622g4511ga994g00d58d5c41fa	Lupus Optumus	Lupus Optumus
93bca9b7-7817-4899-9376-3665bd95d822	MinorIllusion	he8f67120gdcb6g4091g91ffg94650e05190b	Illusory Double	Иллюзорный двойник
97ac5be0-4f4c-4411-92fb-9c5e63c565db	Helper_Countercharm			
99812de4-8dfc-4a78-80af-9c342c023ade	MinorIllusion	h287d705fgddf7g4ba4gb3a5g304d154dfe7a	Illusory Double	Иллюзорный двойник
9beee5c9-279e-49d8-a4a8-18f9ee0b1519	Companion_Wolf	h8a89b681gcfb0g4d51gb2c5gc899ec5ae0f6	Lupus	Lupus
9bfb58f1-52d2-45d4-8485-0eb224f1a87f	Mephit_Ice_ConjureElemental	h8ee7cc20g9a9ag43c2gbd22g5be6a829f326	Ice Mephit	Ледяной мефит
9c4ebd30-418d-4840-9b77-e2999cc3d5d4	TWN_Brewer_Imp_Acid	ha51a6d3cge5b8g4ad3g9c18g7f14d75be72b	Acid Hallucination	Кислотная галлюцинация
9e9fb855-135b-423f-a7ce-0e9c98e6d06f	MinorIllusion	h618ae231g65fag466agbcf1g2c1648d0ab9a	Illusory Double	Иллюзорный двойник
9ed52ea6-0f17-4c94-b3b2-157ff1551dfc	WoodWoad_Dryad_Summon	hd41265a0g2956g42a4ga133ga52d3e4e4bec	Wood Woad	Вайда
a4ca1c8f-d59b-4393-9c06-987713f8f74d	FlamingSphere	h41611a1bgbe6dg4563g8bbfgbe0b444f8b31	Flaming Sphere	Пылающая сфера
a4d03902-0382-4f88-866d-3bb2225a69a3	MinorIllusion	hffa7248dg482dg4ba1g82b0g1ff75c5d3e75	Cat	Кошка
a6297d2a-5c08-4206-a661-00a776802160	Companion_Boar_8	h5de6b6d4gfbdeg4fadg9df2g074e023b0454	Verres Major	Verres Major
aa0bc9e6-65db-4471-9c35-8ff3412212d6	Companion_Boar_11	h63b9eaecg2876g4318gbb4dg111520975876	Verres Calamitosus	Verres Calamitosus
af547ac0-c5fb-481d-9d67-8da3799aef5a	Deva_PlanarAlly	haade74bdga00eg4c24g8bc3g1e70cadcabcd	Deva	Дэва
b03f4282-ad07-4f6a-8ee5-a56ea3558a14	LOW_GreaseWizard_Mephit	h6f450f73g7ff8g4259gbcb5g0db5e4259496	Young Grease Mephit	Молодой жирный мефит
b3098165-f613-4f1b-a792-62cba1285ec5	Halberd_Coins	h911568c7g8cf8g42ecg9c37g18f35dd62865	Coin Halberd	Алебарда из монет
b3b9353a-4b03-4599-bcc2-a0b86807f430	SpiritualWeapon_Halberd	h7ddc1889gbb9cg4ae2gb0a4g38d06dab718d	Spiritual Weapon	Призрачное оружие
b428c4e0-d3ca-449c-a5c5-9e0fb310081a	Companion_Wolf_5	h46349823g648dg4b2fg90a1gc7e5d40544f5	Lupus Major	Lupus Major
b5bd29ba-8105-4123-920f-a2c64a4e1dfc	Earth_Myrmidon	h552a1f59g4898g4060ga40fg367d6ce46a24	Earth Myrmidon	Прислужник земли
b5deaa14-03b5-41c6-8372-7a9d758b4dfb	FindFamiliar_Dog	h49577017gbdd0g4a69gb6f3gbfe24bee3d02	Scratch	Шкряб
b79527a1-a83d-4b23-82d5-a02b01638469	Water_Myrmidon	h94df802eg0d56g4877g98a6g008f1f751832	Water Myrmidon	Прислужник воды
b7ce7396-1a43-49a3-8dd0-f41dc67f0a94	Companion_GiantSpider_11	h52c2ef2fg50bbg487dg9a87gdde5b6c2d43c	Aranea Aculeata	Aranea Aculeata
b7f1c55b-5e2e-4272-aa73-7deba553d1c1	AnimateDead_Zombie__Horde	h1d79c26eg31abg413egaf32ga3062ff07ea3	Zombie	Зомби
b8349b08-f161-46c3-bde3-a62db026a4b6	Helper_Countercharm			
bdefb0d5-4cec-4878-9230-7d7dba7b62cf	MinorIllusion	h6ec73614gb9a8g44b6gadfdg838db4841887	Illusory Double	Иллюзорный двойник
be212ed5-a622-4560-96be-0ee27ea1f913	Familiar_Cat	he83c7dcbgee96g448bgbc9dg7a16c5d18ed9	Conjured Cat	Призванная кошка
be71d66c-5328-490f-b962-4fdb7ca2647f	Companion_Boar	h8fcdc1ffgc618g489bg9cbeg4a95daa7b2a1	Verres	Verres
c00e7115-966b-429d-9098-0baad3fb6570	Mephit_Magma	hd53421d4g036fg444ag9b4egd3e7b18b8e20	Magma Mephit	Магматический мефит
c2a2c269-ede8-4887-99f1-e0c044cc0c75	AnimateDead_Zombie	h321958c5ga1bag4d77gbf0bg33ec556d943a	Zombie	Зомби
c390b2fc-7039-4600-bd5d-e96380dd72e9	Companion_Raven_5	haeefec78g9817g4240ga000g59ed9ecfc996	Corvus Major	Corvus Major
c49e35a7-30e0-42fa-bddf-435f04c60062	MOO_TrapZombie	h321958c5ga1bag4d77gbf0bg33ec556d943a	Zombie	Зомби
c4f8689e-ada6-42b1-9c3b-75b5587a12bc	LOW_Raphael_SoulSummon	hbde198d2g4ca9g4966g8a03gf59e6347f236	Screaming Soul Aggregate	Кричащее скопление душ
c6ad9c71-43a9-410b-8e3e-219a0a7fddc8	Djinni_PlanarAlly	hb5a8f290g1a38g40ddgada4g172ab2f9d1d6	Djinni	Джинн
c73770fb-465e-42c4-8faf-e611f1a0201c	Companion_Raven_11	h6f261209g9cd2g4adega28fg40436a9733b5	Corvus Celer	Corvus Celer
c7a75636-a101-4920-a603-58efb6558bcb	Zombie_FungalInfestation	h33139592g2fa2g46a1ga4f5g5c610d08232e	Fungal Zombie	Грибной зомби
c7f03941-b89c-4aa3-b74a-ad358b000331	MinorIllusion	h96264672g8267g4fd7g8b86g3493b0edf24a	Illusory Double	Иллюзорный двойник
c9d74a0f-4022-4113-ac06-05828dfa85a1	MinorIllusion	h32ee883fg97ecg4b07g8fcagbea009c78dc7	Illusory Double	Иллюзорный двойник
ca66e982-91f6-4b60-8ebc-d4c4f2568f0c	Companion_Bear_7	hfdd421edgbb72g4689gafa7g5a030394ab90	Ursa Major	Ursa Major
ca69f1a8-28c6-4eb3-863e-fa95040dc7e7	Companion_Raven	hefa2b8dfga29ag43c0g8894g2066876e80ce	Corvus	Corvus
cc908c12-5f3f-42ae-b28c-c215c396b4bf	MinorIllusion	h91694715g52fcg44c9g817fgf34474a39792	Illusory Double	Иллюзорный двойник
d243badc-a763-4d9e-8037-2da9c3e39d5e	GuardianOfFaith	h2ac268f1g864bg4b3fg926agc4c3f3282cbc	Guardian of Faith	Страж веры
d4111267-1310-4663-a9f6-281a9f58221f	WakeTheDead_Ghoul	hd4f17b8cg94fdg464ega18aga8e825e8b359	Ghoul	Упырь
d5718e22-445e-4a59-bc5b-cfc239443b01	SpiritualWeapon_Maul	h7ddc1889gbb9cg4ae2gb0a4g38d06dab718d	Spiritual Weapon	Призрачное оружие
d58976d5-ab26-41e5-a87a-26b3e27278ba	MinorIllusion	hc338eb32g6155g43c9g90fcg596061ae42c9	Illusory Double	Иллюзорный двойник
d642d398-f349-4eab-b98c-a82cbda19918	Companion_Bear	hdea6e468g7f71g48f6gaf6fg36fce0dfa091	Ursa	Ursa
d726d0f6-370c-4642-908d-f76e6619998e	MinorIllusion	h3261d28bga702g4b30g9e5egb77519a6e551	Illusory Double	Иллюзорный двойник
d779b7f9-2c7b-4f85-b914-f09e00c117f2	Familiar_Rat	h791ab1a4g1ac6g428ag8f25g93f694d544d5	Conjured Rat	Призванная крыса
dc33b3a3-60ba-462b-9dd2-f8327491c7db	Companion_GiantSpider_8	hdfa1796bg5792g4b53g8fafg858e15ac7380	Aranea Major	Aranea Major
dcb87672-84d5-4d18-9f1d-30ee66a69cc3	SpiritualWeapon_Greatsword	h7ddc1889gbb9cg4ae2gb0a4g38d06dab718d	Spiritual Weapon	Призрачное оружие
dcbaa902-e45c-41fa-b238-19541402961e	GraspingVine	he5d52787g10deg436agb73fg4cd3798eb8db	Grasping Vine	Цепкая лиана
df74b830-20ec-4fc3-b09e-3b82e7db8f80	Companion_Bear_11	h01acd116gd535g48a7g838dgf79736d68e29	Ursa Ingens	Ursa Ingens
e3161996-d439-45ff-a42a-3fdb3f76b9f4	Companion_GiantSpider_5	h752eaa8aga621g4f92g830ag5a4420b95987	Aranea Major	Aranea Major
e7191344-8bd6-4587-a4a5-0431c6882892	Zombie	h4d0ecc52gc456g47d4ga25fg8b6fe6a53493	Reanimated Corpse	Поднятый труп
e8169a2a-e140-407b-aa4f-1fc0e5d57a5d	MinorIllusion	hb78d8231g0f4dg478egb0beg1b223727b63f	Illusory Double	Иллюзорный двойник
ecdffa46-80bd-41d2-8a50-4460a2810672	Familiar_Raven	h50538accg0a5bg4d12gb100g722ec043d963	Quothe	Куоте
eddf2b83-21d3-4d6f-b958-c30f00dbbb92	MageHand	h50f1ea97gc601g47b9g94cegf7191f1083e0	Mage Hand	Магическая рука
f0feb291-50d1-4757-9749-de165e14c4ed	Elemental_Lava	h6caad9e7g3d4bg4abfgb7bdge48f18319574	Lava Elemental	Лавовый элементаль
f1876ebc-8a68-410a-885f-21f991a5df09	Zombie	h1404662eg03c8g40cdg95acgcce77cdc98f4	Connor Vinderblad	Коннор Виндерблад
f1b30e64-6f44-484f-8f90-f9d0c34a6e8c	MinorIllusion	h120a75adg2de7g40begbd2ag93a1b9dbad2e	Illusory Double	Иллюзорный двойник
f21e144a-3237-4faa-a99c-a15e1937bc2c	Water_Elemental	h5c3d632bgc763g4861g88f0g0b0bac477bb1	Water Elemental	Элементаль воды
f2c424e6-86e6-44e2-b04e-928482e9a76f	MinorIllusion	h6d6dcd74g9fdag4d04g84cag6bc1b1384d80	Illusory Double	Иллюзорный двойник
f33a4f90-f94e-4ed9-a6b1-0912e6b36c59	MinorIllusion	h1a13846cgfebag423fgb843g207ea46f78aa	Illusory Double	Иллюзорный двойник
f424693b-13f4-4cce-987b-7d75748c87e0	Mummy_CreateUndead	h8f6dfb43g11a9g4667g94dbgc1d69fbc1ea8	Mummy	Мумия
f756eba3-1140-4be4-96f7-ca9706be60b6	Companion_Boar_7	hfc6a4223ga275g48cdg9575gaf75e276b706	Verres Major	Verres Major
f7f22579-ce4d-4a3d-b328-f8bdb231206d	TWN_Brewer_Imp_Fire	hc922c2ddga223g45faga056g8358e6615572	Fire Hallucination	Огненная галлюцинация
fb497660-2eb3-4757-bf6d-b8815b577e7e	GuardianOfFaith	h2ac268f1g864bg4b3fg926agc4c3f3282cbc	Guardian of Faith	Страж веры
fe8c3f06-cc26-4f72-baa8-5706fb0140bb	MinorIllusion	he4b69f44g3cb8g477egab7bg24bcce100ea0	Illusory Double	Иллюзорный двойник
